woodies_per_site,woodies_per_reserve,woody_indiv_per_site,woody_indiv_per_reserve,site_ID,reserve,plot_species_per_site,plot_species_per_reserve,forbs_per_reserve,forbs_per_site,graminoids_per_reserve,graminoids_per_site,growth_forms_per_site,growth_forms_per_reserve
15,38,152,651,SU_S02,Summerplace,47,132,75,29,44,13,12,14
16,29,70,426,SY_S05,Syringa Sands,42,122,68,25,41,15,11,15
15,33,104,1055,DA_S05,Dabchick,55,145,89,31,42,21,14,15
20,38,70,420,WI_S01,Willowisp,58,108,63,35,27,18,12,15
20,43,264,1252,MA_S04,Marakele,37,97,54,23,25,12,13,14
18,37,101,482,AN_S04,Ant's Farm,51,136,73,29,48,18,12,14
11,38,140,904,KA_S02,Kaingo,18,81,48,9,20,7,13,14
9,38,202,904,KA_S03,Kaingo,23,81,48,14,20,7,11,14
27,43,286,1252,MA_S01,Marakele,44,97,54,27,25,12,12,14
18,40,75,367,LA_S03,Lapalala,45,88,52,21,28,19,13,14
16,29,111,426,SY_S02,Syringa Sands,51,122,68,23,41,20,14,15
26,37,117,466,SW_S02,Swebeswebe,36,91,57,23,25,9,11,14
15,37,103,466,SW_S04,Swebeswebe,32,91,57,20,25,9,12,14
22,37,145,482,AN_S05,Ant's Farm,55,136,73,26,48,20,12,14
16,40,121,367,LA_S04,Lapalala,36,88,52,18,28,13,11,14
22,35,94,379,JE_S02,Jembisa,42,102,64,23,31,16,13,14
16,35,50,379,JE_S04,Jembisa,47,102,64,30,31,15,13,14
10,35,81,379,JE_S05,Jembisa,38,102,64,18,31,14,12,14
21,38,60,420,WI_S05,Willowisp,36,108,63,22,27,10,13,15
17,38,76,420,WI_S02,Willowisp,48,108,63,32,27,8,14,15
21,38,109,420,WI_S04,Willowisp,35,108,63,17,27,13,13,15
21,38,105,420,WI_S03,Willowisp,35,108,63,22,27,9,14,15
9,29,63,426,SY_S01,Syringa Sands,44,122,68,19,41,19,13,15
10,29,75,426,SY_S03,Syringa Sands,44,122,68,25,41,15,12,15
13,29,107,426,SY_S04,Syringa Sands,42,122,68,24,41,14,14,15
22,33,294,1055,DA_S01,Dabchick,58,145,89,26,42,20,12,15
7,33,344,1055,DA_S04,Dabchick,34,145,89,17,42,14,11,15
21,37,90,482,AN_S03,Ant's Farm,53,136,73,25,48,24,13,14
17,38,391,904,KA_S04,Kaingo,28,81,48,12,20,12,12,14
20,38,109,904,KA_S05,Kaingo,39,81,48,23,20,10,12,14
29,43,357,1252,MA_S05,Marakele,40,97,54,16,25,12,12,14
22,40,53,367,LA_S02,Lapalala,32,88,52,15,28,15,11,14
16,40,76,367,LA_S01,Lapalala,32,88,52,21,28,9,14,14
9,40,42,367,LA_S05,Lapalala,29,88,52,12,28,14,12,14
10,35,42,379,JE_S01,Jembisa,30,102,64,20,31,9,11,14
19,35,112,379,JE_S03,Jembisa,42,102,64,28,31,13,12,14
19,38,106,651,SU_S05,Summerplace,67,132,75,33,44,27,13,14
27,38,161,651,SU_S04,Summerplace,13,132,75,3,44,5,10,14
16,38,62,904,KA_S01,Kaingo,24,81,48,11,20,11,11,14
8,37,47,466,SW_S01,Swebeswebe,30,91,57,17,25,12,10,14
14,37,107,466,SW_S03,Swebeswebe,23,91,57,14,25,6,10,14
15,37,92,466,SW_S05,Swebeswebe,34,91,57,21,25,9,13,14
18,43,90,1252,MA_S03,Marakele,30,97,54,17,25,9,13,14
11,43,255,1252,MA_S02,Marakele,40,97,54,20,25,16,13,14
16,38,154,651,SU_S01,Summerplace,68,132,75,36,44,25,14,14
17,37,92,482,AN_S02,Ant's Farm,39,136,73,16,48,15,13,14
13,37,54,482,AN_S01,Ant's Farm,47,136,73,22,48,21,12,14
11,33,178,1055,DA_S02,Dabchick,43,145,89,24,42,16,14,15
10,33,135,1055,DA_S03,Dabchick,51,145,89,31,42,16,12,15
9,38,78,651,SU_S03,Summerplace,15,132,75,8,44,6,10,14
