site_ID,nEvents,nEventsDay,meanBodyMassKg,cameraID,reserve,nEventsReserve,nEventsDayReserve,meanBodyMassKgReserve
AN_S01,283,2.77915844847142,217.595108074534,ECO_31,Ant's Farm,119.8,1.39168760479556,201.617845408354
AN_S02,2,1.04308143641006,191.25115,ECO_32,Ant's Farm,119.8,1.39168760479556,201.617845408354
AN_S03,73,0.72393436842603,277.022931904762,ECO_33,Ant's Farm,119.8,1.39168760479556,201.617845408354
AN_S04,100,0.999407642761738,172.054894314381,ECO_34,Ant's Farm,119.8,1.39168760479556,201.617845408354
AN_S05,141,1.41285612790857,150.165142748092,ECO_35,Ant's Farm,119.8,1.39168760479556,201.617845408354
DA_S01,141,1.06023516744282,379.044987128713,ECO_26,Dabchick,142,1.18434578648316,463.837475749085
DA_S02,123,1.62032184136575,661.914763276837,ECO_27,Dabchick,142,1.18434578648316,463.837475749085
DA_S03,154,1.16642724062059,541.030189583333,ECO_28,Dabchick,142,1.18434578648316,463.837475749085
DA_S04,79,0.449123841345898,457.160379534884,ECO_29,Dabchick,142,1.18434578648316,463.837475749085
DA_S05,213,1.62562084164074,280.037059221658,ECO_30,Dabchick,142,1.18434578648316,463.837475749085
JE_S01,350,2.82691563965837,229.750842807018,ECO_06,Jembisa,190.6,1.53570722671288,308.284984801746
JE_S02,165,1.32026172966326,232.863700628931,ECO_07,Jembisa,190.6,1.53570722671288,308.284984801746
JE_S03,170,1.36157981079714,310.97493699187,ECO_08,Jembisa,190.6,1.53570722671288,308.284984801746
JE_S04,182,1.46636666925285,354.835165225933,ECO_09,Jembisa,190.6,1.53570722671288,308.284984801746
JE_S05,86,0.703412284192801,413.000278354978,ECO_10,Jembisa,190.6,1.53570722671288,308.284984801746
KA_S01,27,0.278396223893194,397.484978571429,ECO_36,Kaingo,25.6,0.228827475911158,609.998283617824
KA_S02,23,0.238326390342216,1343.29684745763,ECO_37,Kaingo,25.6,0.228827475911158,609.998283617824
KA_S03,11,0.10485709910364,810.368721052632,ECO_38,Kaingo,25.6,0.228827475911158,609.998283617824
KA_S04,35,0.333210472990283,313.707991489362,ECO_39,Kaingo,25.6,0.228827475911158,609.998283617824
KA_S05,32,0.189347193226455,185.132879518072,ECO_40,Kaingo,25.6,0.228827475911158,609.998283617824
LA_S01,66,0.475667819300282,1073.33363567568,ECO_01,Lapalala,38.6,0.457976330396034,604.221088532177
LA_S02,41,0.323798326950571,355.8746475,ECO_05,Lapalala,38.6,0.457976330396034,604.221088532177
LA_S03,51,1.09997835690733,154.477629281768,ECO_02,Lapalala,38.6,0.457976330396034,604.221088532177
LA_S04,28,0.209357298536221,534.724474647887,ECO_03,Lapalala,38.6,0.457976330396034,604.221088532177
LA_S05,7,0.181079850285767,902.695055555556,ECO_04,Lapalala,38.6,0.457976330396034,604.221088532177
MA_S01,120,1.04334595250602,112.778262300319,ECO_46,Marakele,48,0.429359740365674,102.502397710668
MA_S02,17,0.148058769896531,119.18517173913,ECO_47,Marakele,48,0.429359740365674,102.502397710668
MA_S03,28,0.29491706920311,143.982044444444,ECO_48,Marakele,48,0.429359740365674,102.502397710668
MA_S04,45,0.39504474887682,41.992165625,ECO_49,Marakele,48,0.429359740365674,102.502397710668
MA_S05,30,0.265432161345889,94.5743444444444,ECO_50,Marakele,48,0.429359740365674,102.502397710668
SU_S01,122,1.11111521042387,554.477573935264,ECO_21,Summerplace,112.8,1.13255599718623,355.281479114619
SU_S02,40,0.563325826125637,350.732075700935,ECO_22,Summerplace,112.8,1.13255599718623,355.281479114619
SU_S03,90,0.82486212518683,457.208217813765,ECO_23,Summerplace,112.8,1.13255599718623,355.281479114619
SU_S04,116,1.23878270910298,221.908885759494,ECO_24,Summerplace,112.8,1.13255599718623,355.281479114619
SU_S05,196,1.92469411509181,192.080642363636,ECO_25,Summerplace,112.8,1.13255599718623,355.281479114619
SW_S01,125,1.15983790620906,285.567187965616,ECO_41,Swebeswebe,61,0.591529796983339,268.302519987011
SW_S02,17,0.160307972920526,188.310538,ECO_42,Swebeswebe,61,0.591529796983339,268.302519987011
SW_S03,66,0.670832705917784,243.974492268041,ECO_43,Swebeswebe,61,0.591529796983339,268.302519987011
SW_S04,12,0.140929594331281,421.516151612903,ECO_44,Swebeswebe,61,0.591529796983339,268.302519987011
SW_S05,85,0.82574080553804,202.144230088496,ECO_45,Swebeswebe,61,0.591529796983339,268.302519987011
SY_S01,49,0.350450666345486,184.9752024,ECO_16,Syringa Sands,112,0.857063326307477,187.07968886389
SY_S02,104,0.748625008904169,235.588676470588,ECO_17,Syringa Sands,112,0.857063326307477,187.07968886389
SY_S03,88,0.872497230700308,158.353023412698,ECO_18,Syringa Sands,112,0.857063326307477,187.07968886389
SY_S04,228,1.64376648422621,131.774924365482,ECO_19,Syringa Sands,112,0.857063326307477,187.07968886389
SY_S05,91,0.66997724136121,224.706617670683,ECO_20,Syringa Sands,112,0.857063326307477,187.07968886389
WI_S01,31,0.253006745807474,174.120323214286,ECO_11,Willowisp,38.8,0.31920822121713,158.959343994617
WI_S02,60,0.495750118988635,138.278256015038,ECO_12,Willowisp,38.8,0.31920822121713,158.959343994617
WI_S03,67,0.54897309844047,189.112365027322,ECO_13,Willowisp,38.8,0.31920822121713,158.959343994617
WI_S04,21,0.172292590117694,165.823737254902,ECO_14,Willowisp,38.8,0.31920822121713,158.959343994617
WI_S05,15,0.126018552731374,127.462038461538,ECO_15,Willowisp,38.8,0.31920822121713,158.959343994617
