site_ID,n_trigger_events,n_trigger_events_day,camera_mean_body_mass_kg,cameraID,reserve,n_trigger_events_reserve,n_trigger_events_day_reserve,camera_mean_body_mass_kg_reserve
AN_S01,277,2.72023636122467,217.595108074534,ECO_31,Ant's Farm,117.4,1.36789954928861,201.617845408354
AN_S02,2,1.04308143641006,191.25115,ECO_32,Ant's Farm,117.4,1.36789954928861,201.617845408354
AN_S03,72,0.71401745926951,277.022931904762,ECO_33,Ant's Farm,117.4,1.36789954928861,201.617845408354
AN_S04,100,0.999407642761738,172.054894314381,ECO_34,Ant's Farm,117.4,1.36789954928861,201.617845408354
AN_S05,136,1.36275484677706,150.165142748092,ECO_35,Ant's Farm,117.4,1.36789954928861,201.617845408354
DA_S01,140,1.05271576909216,379.044987128713,ECO_26,Dabchick,140.2,1.16953396930319,463.837475749085
DA_S02,122,1.60714849306196,661.914763276837,ECO_27,Dabchick,140.2,1.16953396930319,463.837475749085
DA_S03,153,1.15885303775942,541.030189583333,ECO_28,Dabchick,140.2,1.16953396930319,463.837475749085
DA_S04,79,0.449123841345898,457.160379534884,ECO_29,Dabchick,140.2,1.16953396930319,463.837475749085
DA_S05,207,1.57982870525649,280.037059221658,ECO_30,Dabchick,140.2,1.16953396930319,463.837475749085
JE_S01,344,2.7784542286928,229.750842807018,ECO_06,Jembisa,188.2,1.51635074230711,308.284984801746
JE_S02,165,1.32026172966326,232.863700628931,ECO_07,Jembisa,188.2,1.51635074230711,308.284984801746
JE_S03,167,1.33755193178307,310.97493699187,ECO_08,Jembisa,188.2,1.51635074230711,308.284984801746
JE_S04,180,1.45025274981051,354.835165225933,ECO_09,Jembisa,188.2,1.51635074230711,308.284984801746
JE_S05,85,0.695233071585908,413.000278354978,ECO_10,Jembisa,188.2,1.51635074230711,308.284984801746
KA_S01,27,0.278396223893194,397.484978571429,ECO_36,Kaingo,25.2,0.22501935621984,609.998283617824
KA_S02,23,0.238326390342216,1343.29684745763,ECO_37,Kaingo,25.2,0.22501935621984,609.998283617824
KA_S03,11,0.10485709910364,810.368721052632,ECO_38,Kaingo,25.2,0.22501935621984,609.998283617824
KA_S04,33,0.314169874533695,313.707991489362,ECO_39,Kaingo,25.2,0.22501935621984,609.998283617824
KA_S05,32,0.189347193226455,185.132879518072,ECO_40,Kaingo,25.2,0.22501935621984,609.998283617824
LA_S01,66,0.475667819300282,1073.33363567568,ECO_01,Lapalala,38.2,0.449349049165388,604.221088532177
LA_S02,41,0.323798326950571,355.8746475,ECO_05,Lapalala,38.2,0.449349049165388,604.221088532177
LA_S03,49,1.0568419507541,154.477629281768,ECO_02,Lapalala,38.2,0.449349049165388,604.221088532177
LA_S04,28,0.209357298536221,534.724474647887,ECO_03,Lapalala,38.2,0.449349049165388,604.221088532177
LA_S05,7,0.181079850285767,902.695055555556,ECO_04,Lapalala,38.2,0.449349049165388,604.221088532177
MA_S01,118,1.02595685329759,112.778262300319,ECO_46,Marakele,47.6,0.425881920523988,102.502397710668
MA_S02,17,0.148058769896531,119.18517173913,ECO_47,Marakele,47.6,0.425881920523988,102.502397710668
MA_S03,28,0.29491706920311,143.982044444444,ECO_48,Marakele,47.6,0.425881920523988,102.502397710668
MA_S04,45,0.39504474887682,41.992165625,ECO_49,Marakele,47.6,0.425881920523988,102.502397710668
MA_S05,30,0.265432161345889,94.5743444444444,ECO_50,Marakele,47.6,0.425881920523988,102.502397710668
SU_S01,121,1.10200770869909,554.477573935264,ECO_21,Summerplace,112,1.12497352272275,355.281479114619
SU_S02,40,0.563325826125637,350.732075700935,ECO_22,Summerplace,112,1.12497352272275,355.281479114619
SU_S03,89,0.815696990462532,457.208217813765,ECO_23,Summerplace,112,1.12497352272275,355.281479114619
SU_S04,116,1.23878270910298,221.908885759494,ECO_24,Summerplace,112,1.12497352272275,355.281479114619
SU_S05,194,1.90505437922352,192.080642363636,ECO_25,Summerplace,112,1.12497352272275,355.281479114619
SW_S01,119,1.10416568671103,285.567187965616,ECO_41,Swebeswebe,59.8,0.580395353083732,268.302519987011
SW_S02,17,0.160307972920526,188.310538,ECO_42,Swebeswebe,59.8,0.580395353083732,268.302519987011
SW_S03,66,0.670832705917784,243.974492268041,ECO_43,Swebeswebe,59.8,0.580395353083732,268.302519987011
SW_S04,12,0.140929594331281,421.516151612903,ECO_44,Swebeswebe,59.8,0.580395353083732,268.302519987011
SW_S05,85,0.82574080553804,202.144230088496,ECO_45,Swebeswebe,59.8,0.580395353083732,268.302519987011
SY_S01,47,0.336146557515058,184.9752024,ECO_16,Syringa Sands,111.4,0.852760604116631,187.07968886389
SY_S02,104,0.748625008904169,235.588676470588,ECO_17,Syringa Sands,111.4,0.852760604116631,187.07968886389
SY_S03,88,0.872497230700308,158.353023412698,ECO_18,Syringa Sands,111.4,0.852760604116631,187.07968886389
SY_S04,227,1.63655698210241,131.774924365482,ECO_19,Syringa Sands,111.4,0.852760604116631,187.07968886389
SY_S05,91,0.66997724136121,224.706617670683,ECO_20,Syringa Sands,111.4,0.852760604116631,187.07968886389
WI_S01,31,0.253006745807474,174.120323214286,ECO_11,Willowisp,38.6,0.317527973847378,158.959343994617
WI_S02,60,0.495750118988635,138.278256015038,ECO_12,Willowisp,38.6,0.317527973847378,158.959343994617
WI_S03,67,0.54897309844047,189.112365027322,ECO_13,Willowisp,38.6,0.317527973847378,158.959343994617
WI_S04,21,0.172292590117694,165.823737254902,ECO_14,Willowisp,38.6,0.317527973847378,158.959343994617
WI_S05,14,0.117617315882616,127.462038461538,ECO_15,Willowisp,38.6,0.317527973847378,158.959343994617
